marker_name,compartment,family,compartment_desc,family_desc,marker_full_name
HBCAG,nucleus,qc_mask,nuclear protein,Derived mask/pseudo-channel,Hepatitis B core antigen (HBV)
HBSAG,membrane,qc_mask,membrane protein,Derived mask/pseudo-channel,Hepatitis B surface antigen (HBV)
HBV_POLYMERASE,cytoplasm,qc_mask,cytoplasmic protein,Derived mask/pseudo-channel,Hepatitis B virus polymerase (HBV)
HLA_DPQR,membrane,mhc_ii,membrane protein,MHC class II,Human leukocyte antigen
HLA_E,membrane,mhc_i,membrane protein,MHC class I,Human leukocyte antigen
IGG,extracellular,b_cell_marker,extracellular protein,B-cell lineage marker,Immunoglobulin G
IL-18,extracellular,activation_marker,extracellular protein,Immune activation marker,Interleukin-18
ISG15,cytoplasm,activation_marker,cytoplasmic protein,Immune activation marker,ISG15 ubiquitin like modifier
MBL,membrane,immune_checkpoint,membrane protein,Immune checkpoint/ligand (membrane),Mannose-binding lectin
MMP12,extracellular,ecm_matrix,extracellular protein,Extracellular matrix component,Matrix metalloproteinase 12
MUC5B,extracellular,epithelial_marker,extracellular protein,Epithelial marker,Mucin-5B
NAKATP_B2M,membrane,epithelial_marker,membrane protein,Epithelial marker,"Sodium/potassium-transporting ATPase, Beta-2-microglobulin"
PAX8,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,Paired box protein PAX8
PDGFRB,membrane,pericyte_marker,membrane protein,Pericyte marker,Platelet-derived growth factor receptor beta
PDL2,membrane,immune_checkpoint,membrane protein,Immune checkpoint/ligand (membrane),Programmed death-ligand 2 (PDCD1LG2)
PLA2,cytoplasm,metabolic_enzyme,cytoplasmic protein,Metabolic transporter/marker,Phospholipase A2
RORGD,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,Retinoic acid-related orphan receptor gamma t
SIGLEC-10,membrane,immune_checkpoint,membrane protein,Immune checkpoint/ligand (membrane),Sialic acid-binding Ig-like lectin 10
SIGLEC-15,membrane,immune_checkpoint,membrane protein,Immune checkpoint/ligand (membrane),Sialic acid-binding Ig-like lectin 15
SIGLEC-8,membrane,immune_checkpoint,membrane protein,Immune checkpoint/ligand (membrane),Sialic acid-binding Ig-like lectin 8
pNFKB,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,Phosphorylated NF-kB
